"Elements Object type
 display name",,,Journal article,,Artefact,,Book,,Chapter,,Composition,,Conference,,Dataset,,Design,,Exhibition,,Figure,,Fileset,,Internet publication,,Media,,Other,,Patent,,Performance,,Presentation,,Poster,,Report,,Scholarly edition,,Software / Code,,Thesis / Dissertation,,Preprint,,,,,,,,,,,,,,,,,,,
"""publisher-url""",url,,Publisher URL [S],URL ,Publisher URL [S],,Publisher URL [S],URL ,Publisher URL [S],URL ,Publisher URL [S],,Publisher URL [S],URL ,Publisher URL [S],,Publisher URL [S],,Publisher URL [S],,[not used],,[not used],,Publisher URL [S],,[not used],,Publisher URL [S],,Publisher URL [S],URL ,Publisher URL [S],,[not used],,[not used],,Publisher URL [S],,Publisher URL [S],,Publisher URL [S],,Publisher URL [S],,Publisher URL,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
"""place-of-publication""",text,,[not used],,[not used],,Place of publication [S],Publication Name,Place of publication [S],,[not used],,Place of publication [S],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,Place of publication,,[not used],,[not used],,[not used],,[not used],,Place of publication [S],,[not used],,Place of publication [S],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
"""publication-date""",date,,Publication date [S],Contribution Year,Publication date [S],,Publication date [S],Contribution Year,Publication date [S],Contribution Year,Publication date [S],,Publication date [S],Contribution Year,Publication date,,Publication date [S],,[not used],,[not used],,[not used],,Publication date [S],,[not used],,Publication date [S],,Publication date [S],Contribution Year,[not used],,Presentation date [S],Contribution Year,Presented date [M] [S],,Publication date [S],,Publication date [S],,Publication date [S],,Date awarded [S],,Publication date,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
isbn-10,isbn-10,,[not used],,[not used],,ISBN-10,,ISBN-10,,[not used],,ISBN-10,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,ISBN-10,,[not used],,[not used],,[not used],,[not used],,ISBN-10,,ISBN-10,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
"""isbn-13""",isbn-13,,[not used],,[not used],,ISBN-13,Additional Details,ISBN-13,Additional Details,[not used],,ISBN-13,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,ISBN-13,,[not used],,[not used],,[not used],,[not used],,ISBN-13,,ISBN-13,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
"""doi""",doi,,DOI [S],Additional Details,[not used],,DOI [S],Additional Details,DOI [S],Additional Details,[not used],,DOI [S],Additional Details,DOI [S],,[not used],,[not used],,DOI [S],,DOI [S],,DOI [S],,DOI [S],,DOI [S],,DOI [S],Additional Details,[not used],,DOI [S],Additional Details,[not used],,DOI [S],,DOI [S],,DOI [S],,[not used],,DOI,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
"""medium""",text,,Medium,Heading Type ,Medium [S],,Medium,Heading Type ,Medium,Heading Type ,Medium [S],,Medium,,[not used],,Medium [S],,Medium [S],,[not used],,[not used],,Medium [S],,Medium,,Medium [S],,Medium,Heading Type ,Medium [S],,[not used],,[not used],,Medium,,Medium [S],,Medium,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
publication-status,choice,,Status [M],,Status,,Status,,Status,,Status,,Status,,[not used],,Status,,Status,,[not used],,[not used],,Status,,[not used],,Status,,Status,,Status,,[not used],,[not used],,Status,,Status,,Status,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
keywords,keyword-list,,Keywords,,Keywords,,Keywords,,Keywords,,Keywords,,Keywords,,Keywords,,Keywords,,Keywords,,Keywords,,Keywords,,Keywords,,Keywords,,Keywords,,Keywords,,Keywords,,Keywords,,Keywords,,Keywords,,Keywords,,Keywords,,Keywords,,Labels,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
notes,text,,Notes,,Notes,,Notes,,Notes,,Notes,,Notes,,Notes,,Notes,,Notes,,Notes,,Notes,,Notes,,Notes,,Notes,,Notes,,Notes,,Notes,,Notes,,Notes,,Notes,,Notes,,Notes,,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],,[not used],
